15m_timestamp,15m_open,15m_high,15m_low,15m_close,15m_volume
1635307200000,60705.43,60717.26,60555.69,60566.4,1.162374
1635308100000,60566.4,61270.05,60533.74,61257.27,29.238575
1635309000000,61257.27,61434.44,61236.79,61350.0,13.825368
1635309900000,61350.0,61424.33,61118.46,61168.94,5.926918
1635310800000,61168.94,61383.52,61128.83,61350.0,5.379742
1635311700000,61350.0,61350.0,61141.51,61175.0,1.572995
1635312600000,61175.0,61175.0,60892.08,60950.0,14.494396
1635313500000,60950.0,60956.36,60816.66,60937.88,8.661924
1635314400000,60937.88,60971.29,60685.84,60718.77,11.344339
1635315300000,60718.77,60880.77,60660.0,60866.27,5.436334
1635316200000,60866.27,60958.0,60647.74,60647.74,4.314019
1635317100000,60647.74,60808.86,60647.74,60675.93,2.993472
1635318000000,60675.93,60927.07,60562.86,60720.0,6.090175
1635318900000,60720.0,60720.0,60215.64,60394.12,21.257767
1635319800000,60394.12,60420.38,60000.0,60000.0,16.06085
1635320700000,60000.0,60153.61,59910.01,59933.79,9.254909
1635321600000,59933.79,59933.79,58051.0,58875.89,89.021324
1635322500000,58875.89,59161.41,58479.54,59020.0,23.866267
1635323400000,59020.0,59436.54,58887.62,58929.53,17.641529
1635324300000,58929.53,59277.99,58800.0,59202.2,16.062968
1635325200000,59202.2,59202.2,58823.41,58915.96,10.078365
1635326100000,58915.96,58998.3,58600.39,58713.79,9.94199
1635327000000,58713.79,59025.27,58713.79,58926.81,8.017217
1635327900000,58926.81,59012.67,58758.96,58898.88,5.100014
1635328800000,58898.88,58898.88,58709.13,58768.13,7.870049
1635329700000,58768.13,58827.08,58450.01,58471.84,10.60878
1635330600000,58471.84,58904.11,58369.02,58882.92,12.800814
1635331500000,58882.92,59100.46,58817.16,58918.88,5.27238
1635332400000,58918.88,59160.81,58866.57,59148.93,5.388645
1635333300000,59148.93,59154.34,58847.66,58853.12,8.063867
1635334200000,58853.12,58853.12,58599.09,58735.74,8.533045
1635335100000,58735.74,58777.1,58526.23,58576.55,5.620904
1635336000000,58576.55,58724.7,58300.0,58637.19,17.859311
1635336900000,58637.19,58926.69,58637.19,58899.99,2.457029
1635337800000,58899.99,59025.58,58826.41,58842.68,3.755787
1635338700000,58842.68,59066.43,58707.69,59033.56,7.287298
1635339600000,59033.56,59244.54,58909.06,59244.54,7.11897
1635340500000,59244.54,59244.54,58943.71,58967.05,2.834236
1635342300000,59167.02,59280.5,58964.92,59031.91,7.538607
1635343200000,59031.91,59121.55,58884.82,58899.06,4.75772
1635344100000,58899.06,58995.04,58712.03,58800.0,4.267264
1635345000000,58800.0,59213.32,58800.0,59084.32,6.405206
1635345900000,59084.32,59416.88,59078.15,59157.96,9.390979
1635346800000,59157.96,59343.27,59121.51,59302.2,7.697694
1635347700000,59302.2,59307.39,58932.95,58941.83,3.774662
1635348600000,58941.83,59097.7,58830.01,58839.87,6.993083
1635349500000,58839.87,58900.0,58762.14,58825.78,6.044983
1635350400000,58825.78,59030.95,58600.0,58701.97,8.440256
1635351300000,58701.97,58815.02,58562.52,58604.46,9.641073
1635352200000,58604.46,58894.94,58569.38,58841.26,18.220385
1635353100000,58841.26,59000.0,58782.83,58866.4,8.791725
1635354000000,58866.4,59190.21,58850.01,59169.82,5.635525
1635354900000,59169.82,59169.82,59045.48,59116.25,3.288773
