1d_timestamp,1d_open,1d_high,1d_low,1d_close,1d_volume
1647993600000,42357.83,43025.01,41754.82,42891.39,5052.833905
1648080000000,42891.39,44221.99,42611.0,43991.52,5874.522961
1648166400000,43991.52,45110.0,43566.97,44306.33,4156.157818
1648252800000,44306.33,44796.58,44070.01,44514.73,1638.552355
1648339200000,44514.73,47000.0,44427.28,46841.13,2750.776459
1648425600000,46841.13,48187.75,46651.05,47127.99,2660.701221
1648512000000,47127.99,48100.0,46929.53,47433.63,2492.874291
1648598400000,47433.63,47696.43,46494.49,47057.17,1768.404498
1648684800000,47057.17,47607.91,45201.34,45513.51,2145.493353
1648771200000,45513.51,46700.0,44214.81,46279.92,3274.689283
1648857600000,46279.92,47197.96,45610.0,45806.21,2310.471212
1648944000000,45806.21,47435.89,45529.0,46418.31,1728.474965
1649030400000,46418.31,46884.61,45096.75,46590.38,2421.453932
1649116800000,46590.38,47195.58,45337.27,45488.93,4180.822815
1649203200000,45488.93,45508.0,43114.09,43175.09,5004.900674
1649289600000,43175.09,43898.97,42740.02,43447.67,3904.959633
1649376000000,43447.67,43971.91,42100.0,42276.04,4031.901687
1649462400000,42276.04,42800.68,42117.01,42746.05,1906.673752
1649548800000,42746.05,43413.6,41880.0,42151.82,2338.760482
1649635200000,42151.82,42409.85,39180.89,39524.11,7883.472062
1649721600000,39524.11,40699.99,39254.47,40067.1,5197.294158
1649808000000,40067.1,41544.57,39580.7,41138.2,2367.863126
1649894400000,41138.2,41490.73,39557.21,39953.53,1398.007652
1649980800000,39953.53,40861.03,39770.86,40554.93,1120.824172
1650067200000,40554.93,40700.0,39997.37,40375.27,852.607043
1650153600000,40375.27,40595.68,39545.46,39686.18,1083.408195
1650240000000,39686.18,41099.8,38539.14,40797.06,2537.006852
1650326400000,40797.06,41764.88,40569.1,41495.27,1866.683213
1650412800000,41495.27,42200.0,40828.57,41356.04,2470.742783
1650499200000,41356.04,42972.47,39750.0,40484.32,6185.689675
1650585600000,40484.32,40798.43,39180.01,39707.22,6811.386482
1650672000000,39707.22,39973.36,39284.77,39437.61,1708.01893
1650758400000,39437.61,39935.02,38936.48,39456.9,2177.7658
1650844800000,39456.9,40612.23,38170.08,40421.83,3931.544588
1650931200000,40421.83,40787.31,37700.0,38121.28,3692.110369
1651017600000,38121.28,39473.0,37882.28,39229.08,3118.480004
1651104000000,39229.08,40377.66,38882.55,39746.88,3908.02964
1651190400000,39746.88,39921.54,38170.01,38595.03,3547.86361
1651276800000,38595.03,38791.11,37564.58,37626.05,1811.462904
1651363200000,37626.05,38669.99,37380.0,38471.49,2345.71255
1651449600000,38471.49,39169.0,38052.17,38523.67,3732.689841
1651536000000,38523.67,38763.79,37521.0,37730.95,3148.108898
1651622400000,37730.95,40032.79,37665.29,39695.33,4581.912607
1651708800000,39695.33,39845.4,35555.0,36554.26,6317.969126
1651795200000,36554.26,36669.99,35250.0,36018.37,5322.39094
1651881600000,36018.37,36139.47,34776.02,35468.77,2483.667472
1651968000000,35468.77,35515.96,33701.01,34046.76,5493.031855
1652054400000,34046.76,34256.4,30039.1,30089.17,11160.06441
1652140800000,30089.17,32649.95,29715.0,31018.89,17749.795868
1652227200000,31018.89,32171.0,27788.23,29128.67,27073.998443
1652313600000,29128.67,30227.63,26782.62,29028.65,15939.769669
1652400000000,29028.65,31068.85,28767.0,29274.21,13941.603105
1652486400000,29274.21,30337.04,28633.86,30082.12,6374.426643
1652572800000,30082.12,31455.81,29478.31,31330.65,3639.209214
1652659200000,31330.65,31330.65,29099.39,29867.1,4410.288309
1652745600000,29867.1,30790.41,29445.13,30442.84,3824.546615
1652832000000,30442.84,30715.0,28647.25,28705.6,4927.373222
1652918400000,28705.6,30541.94,28690.76,30316.49,4791.165154
1653004800000,30316.49,30776.48,28724.0,29205.79,4957.85513
1653091200000,29205.79,29655.16,28944.48,29446.83,2145.712133
1653177600000,29446.83,30487.79,29256.53,30288.62,2656.815386
1653264000000,30288.62,30665.34,28867.03,29112.15,3554.517291
1653350400000,29112.15,29885.57,28660.01,29658.72,3531.407874
1653436800000,29658.72,30224.13,29335.22,29545.39,3822.92207
1653523200000,29545.39,29883.01,28003.34,29194.55,5434.694468
1653609600000,29194.55,29393.92,28283.52,28625.97,5165.858865
1653696000000,28625.97,29257.6,28523.28,29028.45,1854.96237
1653782400000,29028.45,29595.99,28843.73,29467.99,1518.044894
1653868800000,29467.99,32228.0,29309.47,31730.87,5648.767868
1653955200000,31730.87,32397.99,31225.04,31801.46,4328.982311
1654041600000,31801.46,31981.63,29327.9,29809.48,5878.726513
1654128000000,29809.48,30700.0,29592.63,30458.67,5089.941368
1654214400000,30458.67,30694.28,29270.31,29704.54,4900.604434
