4h_timestamp,4h_open,4h_high,4h_low,4h_close,4h_volume
1656057600000,20909.32,21325.0,20745.37,21166.83,953.577458
1656072000000,21166.83,21458.81,20819.36,20886.18,1204.770714
1656086400000,20886.18,21264.47,20792.5,21250.93,796.636411
1656100800000,21250.93,21559.28,21148.31,21238.42,684.12962
1656115200000,21238.42,21376.9,21127.14,21297.21,568.044825
1656129600000,21297.21,21607.65,21180.15,21508.85,459.206569
1656144000000,21508.85,21557.05,21316.64,21336.75,420.718141
1656158400000,21336.75,21370.7,20907.81,20959.57,586.435837
1656172800000,20959.57,21254.09,20918.4,21206.47,413.979703
1656187200000,21206.47,21588.08,21146.08,21491.37,447.391023
1656201600000,21491.37,21544.83,21274.21,21425.54,202.274518
1656216000000,21425.54,21527.05,21340.01,21395.38,223.886562
1656230400000,21395.38,21784.7,21362.51,21706.92,392.31024
1656244800000,21706.92,21882.23,21193.85,21327.25,673.11499
1656259200000,21327.25,21442.08,21134.13,21282.81,237.029774
1656273600000,21282.81,21420.0,20971.28,21038.91,524.451815
1656288000000,21038.91,21195.04,20926.2,21170.7,431.078425
1656302400000,21170.7,21398.16,21142.75,21362.45,305.115183
1656316800000,21362.45,21546.11,21286.0,21304.28,512.528467
1656331200000,21304.28,21343.82,20591.68,20758.6,924.407278
1656345600000,20758.6,20937.56,20518.04,20857.99,701.666637
1656360000000,20857.99,20962.54,20687.5,20739.51,447.374729
1656374400000,20739.51,20871.75,20511.11,20735.85,552.338126
1656388800000,20735.85,20946.91,20703.2,20881.88,553.869149
1656403200000,20881.88,21212.5,20872.25,21000.01,603.546017
1656417600000,21000.01,21137.5,20590.89,20608.43,917.045307
1656432000000,20608.43,20769.6,20219.42,20255.93,906.529498
1656446400000,20255.93,20463.59,20203.59,20280.4,571.517106
1656460800000,20280.4,20399.4,20152.66,20289.48,480.052267
1656475200000,20289.48,20369.98,19904.0,20093.94,958.92581
1656489600000,20093.94,20233.24,19851.4,20108.0,875.246452
1656504000000,20108.0,20192.62,19892.54,20086.61,1181.126241
1656518400000,20086.61,20264.6,19933.28,20228.07,812.231717
1656532800000,20228.07,20433.99,20053.14,20126.0,633.390663
1656547200000,20126.0,20171.76,19942.76,20075.95,676.599567
1656561600000,20075.95,20092.99,19311.0,19435.45,1505.047308
1656576000000,19435.45,19441.15,18930.57,19100.22,1914.456575
1656590400000,19100.22,19331.0,18761.56,19155.42,2322.708193
1656604800000,19155.42,19296.32,18852.35,18927.5,1120.540381
1656619200000,18927.5,19977.42,18625.0,19947.96,1924.678376
1656633600000,19947.96,20926.71,19657.93,19727.22,2943.913916
1656648000000,19727.22,19755.47,19317.19,19576.11,1928.149641
1656662400000,19576.11,19809.08,18966.84,19191.18,1718.044514
1656691200000,19289.97,19544.28,19254.42,19391.15,816.601557
1656705600000,19391.15,19682.68,19220.01,19281.8,568.049481
1656720000000,19281.8,19388.32,19067.23,19132.36,709.099508
1656734400000,19132.36,19297.45,19110.11,19127.17,403.989402
1656748800000,19127.17,19282.34,18981.0,19196.14,476.205523
1656763200000,19196.14,19447.74,19147.02,19228.51,713.15347
1656777600000,19228.51,19401.41,19191.89,19269.47,401.767366
1656792000000,19269.47,19375.0,19198.27,19251.74,262.218119
1656806400000,19251.74,19302.98,19168.56,19265.0,274.142656
1656820800000,19265.0,19396.82,18780.37,19133.1,963.017428
1656835200000,19133.1,19153.17,18933.31,19086.11,387.700586
1656849600000,19086.11,19122.36,18965.07,19054.38,312.738958
1656864000000,19054.38,19557.54,19016.82,19501.37,462.659715
1656878400000,19501.37,19648.13,19213.68,19315.27,482.803044
1656892800000,19315.27,19339.24,19053.02,19104.27,492.824279
1656907200000,19104.27,19187.0,19079.97,19121.16,281.564658
1656921600000,19121.16,19844.96,19106.8,19808.63,881.06854
1656936000000,19808.63,20130.0,19495.2,19800.55,1363.891592
1656950400000,19800.55,20040.0,19675.01,19827.19,841.767062
1656964800000,19827.19,20359.68,19734.94,20237.99,1155.303449
1656979200000,20237.99,20481.42,20160.01,20312.2,977.183621
1656993600000,20312.2,20466.53,20176.58,20217.16,732.337734
1657008000000,20217.16,20217.16,19482.42,19520.32,1201.013224
1657022400000,19520.32,19592.21,19300.0,19519.93,1505.319692
1657036800000,19519.93,20505.0,19491.51,20395.61,1475.737475
1657051200000,20395.61,20747.06,20108.59,20174.35,1055.106099
1657065600000,20174.35,20387.98,19765.75,19949.2,939.554241
1657080000000,19949.2,20325.57,19862.16,20161.78,1061.872968
1657094400000,20161.78,20294.04,20040.2,20104.78,834.495146
1657108800000,20104.78,20360.0,19960.0,20146.01,902.132739
1657123200000,20146.01,20480.08,20129.81,20324.45,807.415299
1657137600000,20324.45,20670.93,20276.0,20564.05,664.95485
1657152000000,20564.05,20599.76,20386.24,20478.83,630.690996
1657166400000,20478.83,20493.81,20250.0,20439.8,470.352375
1657180800000,20439.8,20617.86,20392.97,20506.54,584.918673
1657195200000,20506.54,21030.0,20375.01,20884.16,1480.414832
1657209600000,20884.16,21836.89,20833.33,21801.26,1896.200105
1657224000000,21801.26,21833.85,21512.71,21618.7,799.712362
1657238400000,21618.7,22526.36,21573.11,22129.52,1229.505083
1657252800000,22129.52,22238.96,21714.96,21797.26,922.910666
